false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,2.25392746861406e-05,0.9841902060126845
0.0,0.000225392746861406,0.9790940040519313
0.0,0.0008564924380733428,0.9789521203023293
0.0,0.0010593459102486082,0.977666116704811
0.0,0.0012171208330515925,0.9772778262150492
0.0,0.0012621993824238737,0.9772332707906706
0.0,0.0012847386571100143,0.9770482900528717
0.0,0.0013974350305407171,0.976908545270367
0.0,0.0014875921292852796,0.976758632496712
0.0,0.0016002885027159826,0.9760529867395457
0.0,0.0017580634255189669,0.9759881588360991
0.0,0.001803141974891248,0.9758692034746228
0.0,0.001848220524263529,0.9756341045934162
0.0,0.001915838348321951,0.9756274737369557
0.0,0.0019609168976942324,0.9754163829513991
0.0,0.0020059954470665136,0.9753314014246142
0.0,0.0021186918204972164,0.9752581927922735
0.0,0.0021637703698694976,0.9752303757053109
0.0,0.002208848919241779,0.9752085897782162
0.0,0.00225392746861406,0.9750712301230637
0.0,0.0022990060179863413,0.9750473289650418
0.0,0.0023215452926724817,0.9748679492151929
0.0,0.0026596344129645906,0.9748630315255946
0.0,0.0032231162801181056,0.9748129872720122
0.0,0.003268194829490387,0.9745756848013283
0.0,0.003313273378862668,0.9744366359164288
0.0,0.0034034304776072305,0.974064013214919
0.0,0.0034710483016656525,0.9739378036387082
0.0,0.0035837446750963554,0.9736389128981199
0.0,0.003651362499154777,0.9736034696588706
0.0,0.0037640588725854802,0.9733991759871907
0.0,0.0038091374219577615,0.973345581853046
0.0,0.003876755246016183,0.9733125475675737
0.0,0.004011990894133027,0.9727637153895766
0.0,0.004057069443505308,0.9727495656716657
0.0,0.00414722654224987,0.9723386614131954
0.0,0.004372619289111276,0.972287451160615
0.0,0.0044627763878558385,0.9718563643836327
0.0,0.004552933486600401,0.9715715741764467
0.0,0.004598012035972683,0.9713078669321029
0.0,0.004665629860031105,0.9711990817136448
0.0,0.004913561881578651,0.9711205832165137
0.0,0.005003718980323213,0.9710360493061458
0.0,0.005048797529695495,0.9708784328356611
0.0,0.005071336804381635,0.9708659591908361
0.0,0.005229111727184619,0.9708447623352277
0.0,0.0052741902765569,0.9707742194402528
0.0,0.005770054319651993,0.9706961074017625
0.0,0.005815132869024275,0.9706116724811339
0.0,0.00601798634119954,0.9705820623536427
0.0,0.006108143439944103,0.9704785937142013
0.0,0.0061532219893163835,0.9703425756544374
0.0,0.006356075461491649,0.9699561096045964
0.0,0.006423693285550071,0.9697491718569381
0.0,0.0064687718349223525,0.9697411314053005
0.0,0.006694164581783758,0.9694342238229973
0.0,0.006806860955214461,0.9694199462189136
0.0,0.006851939504586743,0.9693052804456981
0.0,0.006942096603331305,0.9693038422277993
0.0,0.006987175152703586,0.9692795722940072
0.0,0.0070322537020758675,0.9692660048792779
0.0,0.00714495007550657,0.9689586202909573
0.0,0.007190028624878851,0.9689378351688087
0.0,0.007302724998309554,0.9685746813008949
0.0,0.007370342822367976,0.9683579137489581
0.0,0.007415421371740258,0.9682948976817276
0.0,0.0075957355692293825,0.9682297789189469
0.0,0.007640814118601663,0.9681636502520974
0.0,0.007685892667973945,0.968137456173718
0.0,0.007753510492032366,0.9680890504974053
0.0,0.007798589041404648,0.9679997757346177
0.0,0.00784366759077693,0.9679740372292288
0.0,0.008091599612324476,0.9679416030683395
0.0,0.008114138887010616,0.9679233265627317
0.0,0.008181756711069037,0.967888001251433
0.0,0.008542385106047287,0.967050202108168
0.0,0.008677620754164131,0.9670095816551357
0.0,0.008722699303536412,0.966875267533776
0.0,0.008790317127594835,0.9668426717287181
0.0,0.008857934951653256,0.9667833045918911
0.0,0.008903013501025537,0.9667662448567328
0.0,0.00897063132508396,0.9666688148476199
0.0,0.00903824914914238,0.9666118655986397
0.0,0.009241102621317646,0.9663344718393134
0.0,0.009308720445376067,0.9662647357029384
0.0,0.00939887754412063,0.9661619514162498
0.0,0.009443956093492911,0.9661508026610115
0.0,0.009489034642865192,0.9661164816665947
0.0,0.009601731016295896,0.9660833295934776
