submitted_via,total_records,positive_records,positive_rate,positive_rate_percent,overall_rate_percent,rate_difference_vs_overall_pp
Web,1057743,686744,0.6492541193843874,64.93,53.28,11.65
Referral,115982,0,0.0,0.0,53.28,-53.28
Phone,90440,0,0.0,0.0,53.28,-53.28
Postal mail,21424,0,0.0,0.0,53.28,-53.28
Fax,3406,0,0.0,0.0,53.28,-53.28
