model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision
Structured only,0.5708,0.5826,0.99,0.5704,0.7238,0.618,0.9898
Structured + narrative,0.6986,0.6498,0.9919,0.7,0.8208,0.6968,0.9931
Structured + TF-IDF narrative,0.8191,0.6163,0.9899,0.8249,0.8999,0.6868,0.9926
Difference: Structured + narrative minus Structured only,0.1278,0.0672,0.0019,0.1296,0.097,0.0788,0.0033
Difference: Structured + TF-IDF narrative minus Structured only,0.2483,0.0337,-0.0001,0.2545,0.1761,0.0688,0.0028
