model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,business_interpretation
Base: complaint characteristics,0.7162,0.649,0.9917,0.7182,0.8331,0.7027,0.9926,
Extended: plus company and state,0.7333,0.7908,0.9971,0.7316,0.844,0.8506,0.9974,
Difference: extended minus base,0.017,0.1418,0.0054,0.0134,0.0109,0.1479,0.0048,Company/state features add predictive value.
