model,accuracy,balanced_accuracy,precision_timely,recall_timely,f1_timely,precision_non_timely,recall_non_timely,f1_non_timely,roc_auc_timely,average_precision_timely,roc_auc_non_timely_risk,average_precision_non_timely_risk
Base: complaint characteristics,0.7162,0.649,0.9917,0.7182,0.8331,0.0285,0.5798,0.0544,0.7027,0.9926,0.7027,0.0402
Extended: plus company and state,0.7333,0.7908,0.9971,0.7316,0.844,0.0432,0.8499,0.0823,0.8506,0.9974,0.8506,0.0666
