year_received,total_records,false_positive_count,false_negative_count,error_count,average_predicted_probability,actual_timely_rate,predicted_timely_rate,error_rate_percent,false_positive_rate_percent,false_negative_rate_percent,actual_timely_rate_percent,predicted_timely_rate_percent
2017,3076,1,982,983,0.6092,0.9808192457737321,0.6618985695708712,31.96,0.03,31.92,98.08,66.19
2021,3891,7,1072,1079,0.6469,0.9784117193523516,0.7047031611410949,27.73,0.18,27.55,97.84,70.47
2022,4482,14,1152,1166,0.6564,0.9886211512717537,0.7347166443551986,26.02,0.31,25.7,98.86,73.47
2019,2917,13,690,703,0.673,0.9852588275625643,0.753171066163867,24.1,0.45,23.65,98.53,75.32
2018,2993,9,702,711,0.6723,0.9852990310725025,0.753758770464417,23.76,0.3,23.45,98.53,75.38
2020,3677,10,784,794,0.6649,0.9787870546641284,0.7682893663312483,21.59,0.27,21.32,97.88,76.83
2023,5700,16,1121,1137,0.706,0.987719298245614,0.793859649122807,19.95,0.28,19.67,98.77,79.39
2025,11366,33,1817,1850,0.7466,0.9889143058243886,0.8319549533696992,16.28,0.29,15.99,98.89,83.2
2024,6898,16,1083,1099,0.7437,0.9886923746013337,0.8340098579298347,15.93,0.23,15.7,98.87,83.4
