class,precision,recall,f1-score,support
Closed with explanation,0.9193911803926978,0.5515281915480525,0.6894601631062605,36252.0
In progress,0.0,0.0,0.0,1.0
Other response,0.015077344820834148,0.7777777777777778,0.029581252401075682,99.0
Relief provided,0.3628240485383343,0.7606382978723404,0.49129882739562325,8648.0
accuracy,0.5922,0.5922,0.5922,0.5922
macro avg,0.32432314343796653,0.5224860667995427,0.3025850607257399,45000.0
weighted avg,0.810421424455397,0.5922,0.6499109030274046,45000.0
