state_grouped,No,Yes
AL,1.71,98.29
AZ,1.41,98.59
CA,1.53,98.47
CO,1.7,98.3
CT,1.28,98.72
FL,1.37,98.63
GA,1.78,98.22
IL,1.08,98.92
IN,1.33,98.67
KY,1.63,98.37
LA,1.18,98.82
MA,1.28,98.72
MD,1.41,98.59
MI,1.18,98.82
MN,1.27,98.73
MO,1.35,98.65
MS,1.47,98.53
NC,1.45,98.55
NJ,1.33,98.67
NV,1.52,98.48
NY,0.99,99.01
OH,1.17,98.83
OR,1.45,98.55
Other,1.68,98.32
PA,1.18,98.82
SC,1.68,98.32
TN,1.81,98.19
TX,1.3,98.7
VA,1.42,98.58
WA,1.71,98.29
WI,1.3,98.7
