state_grouped,No,Yes
AL,260,14960
AZ,385,26945
CA,2651,170105
CO,338,19581
CT,200,15437
FL,1628,117240
GA,1113,61475
IL,601,55217
IN,207,15377
KY,136,8223
LA,185,15447
MA,321,24681
MD,486,34084
MI,350,29427
MN,173,13448
MO,213,15561
MS,126,8474
NC,555,37756
NJ,625,46266
NV,268,17326
NY,908,90566
OH,414,34866
OR,174,11830
Other,1955,114507
PA,559,46817
SC,331,19316
TN,371,20124
TX,1492,113134
VA,539,37494
WA,397,22771
WI,164,12447
