submitted_via,total_records,positive_records,positive_rate,positive_rate_percent,overall_rate_percent,rate_difference_vs_overall_pp
Referral,115982,114618,0.9882395544136159,98.82,98.59,0.23
Postal mail,21424,21132,0.986370425690814,98.64,98.59,0.05
Web,1057743,1042951,0.9860155066022653,98.6,98.59,0.01
Phone,90440,88832,0.9822202565236621,98.22,98.59,-0.37
Fax,3406,3337,0.9797416324133882,97.97,98.59,-0.62
