issue_grouped,company_response_to_consumer,standardized_residual
Closing your account,Closed with explanation,-0.725
Struggling to pay mortgage,Untimely response,-0.71
Managing the loan or lease,In progress,-0.701
Other,In progress,-0.701
Problem caused by your funds being low,In progress,-0.678
Problem with a company's investigation into an existing problem,In progress,-0.676
Closing your account,In progress,-0.661
Trouble during payment process,In progress,-0.557
Struggling to pay your loan,In progress,-0.542
Problems at the end of the loan or lease,In progress,-0.491
Trouble using your card,In progress,-0.487
Charged fees or interest you didn't expect,In progress,-0.479
Fraud or scam,In progress,0.404
"Other features, terms, or problems",In progress,0.375
Problem with a purchase shown on your statement,In progress,0.372
Other transaction problem,In progress,-0.142
Problem when making payments,Untimely response,0.14
Incorrect information on your report,In progress,0.106
