precision,recall,threshold
0.9859333333333333,1.0,0.09036783171094752
0.9859990666044403,1.0,0.0944646180427974
0.9860209796426349,1.0,0.09611607897862423
0.9860206689632182,0.9999774607253139,0.09727824272002711
0.9860644989220545,0.9999774607253139,0.09846437563960847
0.9860641891891891,0.9999549214506277,0.09898720330636687
0.9861080240053345,0.9999549214506277,0.0992224560869851
0.986129942874925,0.9999549214506277,0.10085981588198692
0.9861518627189473,0.9999549214506277,0.10282929773967041
0.9861512470546392,0.9999098429012554,0.10298549940976788
0.9861731688340558,0.9999098429012554,0.10307215166162713
0.9861728614618531,0.9998873036265693,0.10356550203212468
0.9861944777911165,0.9998647643518832,0.1042203025145042
0.986194170872146,0.999842225077197,0.10467727466589932
0.9862377162168171,0.9998196858025109,0.10523922461656772
0.9862596438179514,0.9998196858025109,0.10525025425612897
0.9862593383137673,0.9997971465278247,0.10846957977240675
0.9862590327959978,0.9997746072531386,0.11069264750894521
0.9862809623337928,0.9997746072531386,0.11093550143090193
0.9863028928468192,0.9997746072531386,0.11136783585166067
0.9863248243351419,0.9997746072531386,0.11155229911407853
0.9863467567988259,0.9997746072531386,0.11401180062052868
0.9863464531910162,0.9997520679784525,0.11634602366869828
0.986368387111121,0.9997520679784525,0.11673253953179982
0.9863677808170436,0.9997069894290802,0.11705567291807056
0.9863674776497798,0.999684450154394,0.11980829188116038
0.9863671744690314,0.9996619108797079,0.1199821189655227
0.9863668712747976,0.9996393716050217,0.12166936455517825
0.9863665680670773,0.9996168323303356,0.12204382296981495
0.986388505849384,0.9996168323303356,0.12293329250433395
0.9863882031093615,0.9995942930556495,0.1244656608072602
0.9863879003558719,0.9995717537809633,0.12505136268478162
0.9863875975889144,0.9995492145062772,0.12541162386402324
0.986409537790827,0.9995492145062772,0.12621098788304694
0.9864314789687924,0.9995492145062772,0.12644659938750438
0.986431177150992,0.999526675231591,0.1270717013590245
0.9864308753197643,0.9995041359569049,0.1271299633512343
0.9864528184366241,0.9995041359569049,0.12784379451325398
0.9864525170733878,0.9994815966822188,0.1284026471079559
0.9864522156967432,0.9994590574075326,0.12841684235397377
0.9864519143066895,0.9994365181328465,0.12864361966658383
0.9864738598442714,0.9994365181328465,0.12878564572316709
0.9864735589223342,0.9994139788581603,0.12976807325521483
0.9864732579870072,0.9993914395834742,0.12978853021515452
0.9864729570382895,0.9993689003087881,0.1312174913972877
0.9864726560761803,0.9993463610341019,0.133017883933388
0.9864946045166314,0.9993463610341019,0.133553263891304
0.9865165539337842,0.9993463610341019,0.13662973888994437
0.986538504327704,0.9993463610341019,0.13676441830785013
0.9865382047972943,0.9993238217594158,0.136859022395506
0.9865379052535547,0.9993012824847296,0.13708927292522918
0.9865376056964842,0.9992787432100435,0.1375124261981011
0.986537306126082,0.9992562039353574,0.13760026404839779
0.9865370065423472,0.9992336646606712,0.13782849239487696
0.986536706945279,0.9992111253859851,0.1379159527067803
0.98655866120705,0.9992111253859851,0.13825574165018842
0.986558362078558,0.9991885861112989,0.13863280139829945
0.9865580629367516,0.9991660468366128,0.13900428820550273
0.9865800191396079,0.9991660468366128,0.13926867494284248
0.9866019763197721,0.9991660468366128,0.1409663203408819
0.9866016781286862,0.9991435075619266,0.14127430843314628
0.9866013799243267,0.9991209682872405,0.14175196169768325
0.9866010817066928,0.9990984290125544,0.14190281734874705
0.9866230413105413,0.9990984290125544,0.14316468297563945
0.986622743561778,0.9990758897378682,0.1440219819253268
0.9866224457997596,0.9990533504631821,0.14547963269949601
0.9866221480244852,0.9990308111884959,0.14556455875590033
0.9866218502359541,0.9990082719138098,0.14568961936437955
0.9866438127462547,0.9990082719138098,0.1457469129766119
0.9866435154267397,0.9989857326391237,0.14640866643227016
0.9866432180939873,0.9989631933644375,0.14911781776689725
0.9866429207479964,0.9989406540897514,0.1498437892205597
0.9866648856831185,0.9989406540897514,0.15106109036558815
0.9866645888062692,0.9989181148150652,0.15169037029221283
0.986664291916201,0.9988955755403791,0.15183733388150616
0.986663995012913,0.998873036265693,0.1521598644661346
0.9866636980964043,0.9988504969910068,0.15230927711924339
0.9866634011666741,0.9988279577163207,0.15256821082671793
0.9866631042237214,0.9988054184416345,0.15304206851004076
0.9866850730317065,0.9988054184416345,0.15309111887329016
0.9866847765580815,0.9987828791669484,0.1534235779384599
0.9866844800712536,0.9987603398922623,0.15457005332704699
0.9866841835712218,0.9987378006175761,0.1554970448375995
0.9866838870579853,0.99871526134289,0.1563967749781051
0.9867058587748012,0.99871526134289,0.1564180855982869
0.9867055627310382,0.9986927220682038,0.15877570192273455
0.9867052666740898,0.9986701827935177,0.16007421481119938
0.9867272403349368,0.9986701827935177,0.16020962401363897
0.986726944747567,0.9986476435188316,0.16060292909420787
0.9867266491470313,0.9986251042441454,0.16068882187789488
0.9867486247522327,0.9986251042441454,0.16162562628091842
0.9867706013363029,0.9986251042441454,0.16172850363578656
0.986770306688345,0.9986025649694593,0.16208092774886218
0.9867700120272618,0.9985800256947731,0.1632259868108432
0.9867697173530525,0.998557486420087,0.16420334299255473
0.9867694226657163,0.9985349471454008,0.16437404542159043
0.9867691279652523,0.9985124078707147,0.1645610543540062
0.9867688332516594,0.9984898685960286,0.16491918080662946
0.9867902252121806,0.9984447900466563,0.16556210323082407
0.9868122076186233,0.9984447900466563,0.16578774707749244
0.9868119138318965,0.9984222507719701,0.1662556008326784
0.9868116200320799,0.998399711497284,0.16651988388374273
0.9868113262191726,0.9983771722225979,0.16664489697156284
0.9868110323931738,0.9983546329479117,0.1670739256312676
0.9868107385540826,0.9983320936732256,0.1674135829442974
0.9868104447018983,0.9983095543985394,0.167590903547259
0.9868101508366196,0.9982870151238533,0.16794910715204506
0.9868098569582461,0.9982644758491672,0.16811087631491603
0.9868318442102448,0.9982644758491672,0.16859788788874114
0.986831550802139,0.998241936574481,0.16889125106208497
0.9868312573809577,0.9982193972997949,0.16904272013210048
0.9868309639466999,0.9981968580251087,0.16937037677528663
0.9868529536288076,0.9981968580251087,0.1697712227574411
0.986874944290935,0.9981968580251087,0.1698778785532552
0.986874651810585,0.9981743187504226,0.17042337149232226
0.9868966439363551,0.9981743187504226,0.1707049223207247
0.9868963519265482,0.9981517794757365,0.17119436556556827
0.9868960599037262,0.9981292402010503,0.17143440990376754
0.9868957678678879,0.9981067009263642,0.17149041561171552
0.9869177624247827,0.9981067009263642,0.17153249639548748
0.9869174708596136,0.998084161651678,0.1715410695950858
0.9869171792814478,0.9980616223769919,0.17155060599151428
0.9869168876902846,0.9980390831023057,0.17163917993531164
0.9869165960861231,0.9980165438276196,0.17184966907784235
0.9869385935584531,0.9980165438276196,0.17201562567214226
0.9869383024251069,0.9979940045529335,0.1723684395801128
0.9869380112787821,0.9979714652782473,0.17263203650699177
0.9869377201194776,0.9979489260035612,0.17296989400718754
0.9869374289471924,0.997926386728875,0.17321274792914426
0.986937137761926,0.9979038474541889,0.17415856284191095
0.9869368465636773,0.9978813081795028,0.17438302038059714
0.9869365553524455,0.9978587689048166,0.17521155045212858
0.9869362641282297,0.9978362296301305,0.17597880240959968
0.9869359728910291,0.9978136903554443,0.17608781575710405
0.9869356816408427,0.9977911510807582,0.17640778066475246
0.9869353903776698,0.9977686118060721,0.17661519570725118
0.9869573941542372,0.9977686118060721,0.17733497573590976
0.9869571033621689,0.9977460725313859,0.17743664387819247
