company,count,percent
"McCalla Raymer Leibert Pierce, LLC",43,0.0
Concord Servicing Corporation,43,0.0
FIRST GUARANTY MORTGAGE CORP,43,0.0
OpenRoad Lending,43,0.0
Zillow Group Inc.,43,0.0
"NFM, INC",43,0.0
"Ark-La-Tex Financial Services, LLC",43,0.0
CALCON MUTUAL MORTGAGE LLC DBA ONETRUST HOME LOANS,43,0.0
WESTSTAR MORTGAGE CORPORATION,43,0.0
"Acrisure Mortgage Partners, LLC",43,0.0
Security National Automotive Acceptance,42,0.0
"TAYLOR MORRISON HOME FUNDING, INC.",42,0.0
SEACOAST BANKING CORPORATION OF FLORIDA,42,0.0
MEI AUTO FINANCE INC,42,0.0
"West Coast Servicing, Inc.",42,0.0
"Jim Bottin Enterprises, Inc",42,0.0
Sulphur Bank Rancheria Enterprises,41,0.0
"E Mortgage Capital, Inc.",41,0.0
"CASH AMERICA INTERNATIONAL, INC.",41,0.0
CHALLENGE FINANCIAL SERVICES,41,0.0
PACIFIC WESTERN BANK,41,0.0
"PROVIDENT FINANCIAL SERVICES, INC.",41,0.0
OCEANSIDE MORTGAGE COMPANY,41,0.0
Kentucky Housing Corporation,41,0.0
INTERFIRST MORTGAGE COMPANY,40,0.0
"CBC Companies, Inc.",40,0.0
NEW CITY FUNDING CORP.,40,0.0
"WATERMARK CAPITAL, INC.",40,0.0
"NCP Holdings, L.P.",40,0.0
"DIME COMMUNITY BANCSHARES, INC.",40,0.0
"TRUHOME SOLUTIONS, LLC",40,0.0
"CARS Acquisition, LLC",39,0.0
"FlexShopper, Inc",39,0.0
Midwest Recovery Systems,39,0.0
"A-1 Premium Acceptance, Inc.",39,0.0
"BREMER BANK, NATIONAL ASSOCIATION",39,0.0
AMERICAN FINANCING CORPORATION,39,0.0
Ready Capital Corporation,39,0.0
SOP Pioneer Partners LP,39,0.0
Robinson Economic Development Corporation,39,0.0
HoldCo LLC,39,0.0
On Q Financial,38,0.0
Volunteer Mortgage Loan Servicing,38,0.0
Signature Bank (NY),38,0.0
"Net Pay Advance, Inc.",37,0.0
"Sortis Financial, Inc.",37,0.0
"Prog Holdings, Inc.",37,0.0
Hanwha QCells USA Corp,37,0.0
"Special Financing Company, LLC",37,0.0
"GMFS, LLC",36,0.0
"Recovco Mortgage Management, LLC",36,0.0
"Heritage Financial Group, Inc.",36,0.0
Ygrene Energy Fund Inc.,36,0.0
V and H Portfolio,36,0.0
IDAHO CENTRAL CREDIT UNION,36,0.0
AmeriFirst Financial Corporation,36,0.0
Plastiq Inc.,36,0.0
TOWNEBANK,36,0.0
OCEANFIRST FINANCIAL CORP.,36,0.0
"Point Digital Finance, Inc.",35,0.0
Benworth Capital Partners LLC,35,0.0
HOMESTAR FINANCIAL CORPORATION,35,0.0
VANGUARD FUNDING LLC,35,0.0
"DLC, LLC",35,0.0
"AMALGAMATED TOKEN SERVICES, INC.",35,0.0
Global Credit Union,35,0.0
"Altisource Portfolio Solutions, S.à r.l.",35,0.0
CARVANT FINANCIAL LLC,35,0.0
STATE STREET BANK AND TRUST COMPANY,35,0.0
WEALTHFRONT CORPORATION,35,0.0
RUOFF MORTGAGE,35,0.0
"FIRST COMMUNITY MORTGAGE, INC.",34,0.0
eMortgage Funding LLC,34,0.0
FEARON FINANCIAL LLC,34,0.0
OKX INC.,34,0.0
"Michigan Mutual, Inc.",34,0.0
WATERSTONE MORTGAGE CORPORATION,34,0.0
"Cascade CISS Holdings, LLC",34,0.0
"First Help Financial, LLC",34,0.0
"SandP Solutions, Inc.",34,0.0
"Oasis Legal Finance Holding Company, LLC",34,0.0
"Nationwide Mortgage Bankers, Inc.",33,0.0
"Coastal Credit, LLC",33,0.0
"Dyck-O'Neal, Inc.",33,0.0
"Integrity Funding Ohio, LLC",33,0.0
"SOUTHSTATE BANK, N.A. - 520 GERVAIS STREET BRANCH",33,0.0
The Aligned Company DBA Extra,33,0.0
Fair Financial Corp.,33,0.0
"Credit Control, LLC",33,0.0
"Fleet Financial, Inc.",33,0.0
WEICHERT FINANCIAL SERVICES,33,0.0
Self Lender Inc,33,0.0
"MortgagePros, LLC",33,0.0
Airtm Inc.,32,0.0
"WYNDHAM CAPITAL MORTGAGE, INC.",32,0.0
STATE BANK OF INDIA - NEW YORK BRANCH,32,0.0
"Farrell Holdings, LLC",32,0.0
National Financial LLC,32,0.0
"STATE BANKSHARES, INC.",32,0.0
TOLL BROTHERS INC,32,0.0
GSF MORTGAGE CORP,32,0.0
"INDEPENDENT BANK GROUP, INC.",32,0.0
"Security Credit Services, LLC",32,0.0
ALLIED MORTGAGE GROUP,32,0.0
"E MORTGAGE MANAGEMENT, LLC",32,0.0
C/C Financial,32,0.0
"Brock & Scott, PLLC",32,0.0
Spring Equity LLC,32,0.0
"MAS FINANCIAL SERVICES, INC.",32,0.0
"INTERCONTINENTAL EXCHANGE, INC.",32,0.0
"Debt Recovery Solutions, LLC",32,0.0
STOCKTON MORTGAGE,32,0.0
Rhode Island Housing and Mortgage Finance Corporation,31,0.0
Evergreen Moneysource Mortgage Company,31,0.0
STONEGATE MORTGAGE CORPORATION,31,0.0
Athena Bitcoin Inc,31,0.0
"Lima One Capital, LLC",31,0.0
PENNSYLVANIA HOUSING FINANCE AGENCY,31,0.0
Dividend Finance Inc.,31,0.0
"CCS Financial Services, Inc.",31,0.0
NATIONWIDE ACCEPTANCE LLC,31,0.0
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",31,0.0
"Green Trust Cash, LLC",31,0.0
TClub Inc,31,0.0
"Perpay, Inc.",31,0.0
Moneytree Inc,30,0.0
"Syncapay, Inc",30,0.0
Credit Corp Solutions Inc.,30,0.0
"Halsted Financial Services, LLC.",30,0.0
"ADP, LLC",30,0.0
"Madison Management Services, LLC",30,0.0
TrueAccord Corp.,30,0.0
"SF VAGO, LLC",30,0.0
"Makes Cents, Inc. dba Advance.Cash",30,0.0
Credit Plus Inc,30,0.0
"EMG ACQUISITION GROUP, LLC",29,0.0
BANCFIRST CORPORATION,29,0.0
Garcadia Financial LLC,29,0.0
WINNPOINTE CORPORATION,29,0.0
TOTAL MORTGAGE SERVICES LLC,29,0.0
"TAG Intermediate Holding Company, LLC",29,0.0
"Sovereign Lending Group, Incorporated",29,0.0
MoneySpot USA LLC DBA Sunshine Loans,29,0.0
"Coinme Holdings, Inc.",29,0.0
"BANC OF CALIFORNIA, INC.",29,0.0
"BRite Financial Services, Inc.",29,0.0
"KILOWATT FINANCIAL, LLC, A SPRUCE FINANCE COMPANY",29,0.0
CONST LLC,28,0.0
Sierra Holdings LLC,28,0.0
"Global Equity Finance, Inc.",28,0.0
"3rd Generation, Inc.",28,0.0
"ID Analytics, Inc.",28,0.0
HIGHLANDS RESIDENTIAL MORTGAGE,28,0.0
"NOVA Financial Holding Company, LLC",28,0.0
"RABOBANK, NATIONAL ASSOCIATION",28,0.0
ALAMEDA MORTGAGE CORPORATION,28,0.0
"CAINE & WEINER COMPANY, INC.",28,0.0
"Hello Digit, LLC",28,0.0
"Local Management, LLC",27,0.0
"Wallace Management Company, LLC",27,0.0
"Intermex Wire Transfer, LLC",27,0.0
VANDYK MORTGAGE CORPORATION,27,0.0
"Neighborhood Capital Funding, Inc.",27,0.0
FIRST CONTINENTAL MORTGAGE LTD,27,0.0
"Barrett Financial Group, L.L.C.",27,0.0
INDEPENDENCE HOME LOANS LLC,27,0.0
Fuel Capital Group,27,0.0
Bay Equity LLC,27,0.0
"Amcap Investments, LLC",27,0.0
Veripro Solutions Inc.,27,0.0
"Imprint Payments, Inc.",27,0.0
Ralis Services Corporation,27,0.0
"Mountain West Financial, LLC",27,0.0
"LIVE OAK BANCSHARES, INC.",27,0.0
A&D Mortgage LLC,27,0.0
"United Military Mortgage, LLC",26,0.0
FLORIDA HOME TRUST MORTGAGE,26,0.0
Stewart Information Services,26,0.0
"Parkway Financial Group, LLC",26,0.0
"Servion, Inc.",26,0.0
UNITED AUTO ACCEPTANCE,26,0.0
Premier Student Loan Center,26,0.0
National Default Servicing Corporation,26,0.0
United Group Inc.,26,0.0
SFMC L.P.,26,0.0
"AutoMoney, Inc.",26,0.0
"Servicing Solutions, LLC",26,0.0
Absolute Resolutions Corp.,26,0.0
McKenzie Management LLC,25,0.0
West Realm Shires Services Inc.,25,0.0
"Danco Financial Services, LLC",25,0.0
"EQUITY RESOURCES, INCORPORATED",25,0.0
"The LGM Co., Inc.",25,0.0
"Goal Structured Solutions, LLC",25,0.0
"EZCORP, INC.",25,0.0
CVB FINANCIAL CORP.,25,0.0
"Select Financial Services, Inc.",25,0.0
CEX.IO CORP.,25,0.0
"BWW Law Group, LLC",25,0.0
"Castle Credit Co Holdings, LLC, Chicago, IL Branch",25,0.0
"HomeTown Lenders, LLC",25,0.0
Apple Financing LLC,25,0.0
"Greenlight Financial Technology, Inc",25,0.0
"Debois, Inc.",25,0.0
Lincoln Financial Services,25,0.0
Thrift Investment Corp.,25,0.0
COINFLIP LLC,25,0.0
"OCMBC, Inc",25,0.0
Grow Credit Inc,25,0.0
Flandreau Santee Sioux Tribe,25,0.0
"ASSURANCE FINANCIAL GROUP, LLC",24,0.0
MCMC Auto LTD,24,0.0
Ameritech Financial,24,0.0
"Central Mortgage Funding, LLC",24,0.0
Tally Technologies,24,0.0
"eMoneyUSA Holdings, LLC",24,0.0
BHFC Financial Services INC,24,0.0
"Live Well Financial, Inc.",24,0.0
CITYWORTH MORTGAGE LLC,24,0.0
"Convergent Resources, Inc.",24,0.0
Consumer Adjustment Company Incorporated,24,0.0
"FIRST FINANCIAL BANKSHARES, INC.",24,0.0
SILVERGATE CAPITAL CORPORATION,23,0.0
"Financial Freedom Mortgage, LLC",23,0.0
"Approve Holdings, Inc",23,0.0
"FirstCash, Inc.",23,0.0
Credova Holdings Inc,23,0.0
MEGASTAR FINANCIAL CORP,23,0.0
"Celebrity Financial, Inc.",23,0.0
"South River Mortgage, LLC",23,0.0
Rapid Auto Loans LLC,23,0.0
LEADER ONE FINANCIAL CORPORATION,23,0.0
"Flat Branch Mortgage, Inc.",23,0.0
HGREG.com,23,0.0
"Crown Asset Management, LLC, Duluth, GA Branch",23,0.0
"CAROLINA FINANCE, LLC",23,0.0
"DAS ACQUISITION COMPANY, LLC",23,0.0
"MEMBER FIRST MORTGAGE, LLC",23,0.0
"Loan South Finance & Tax Service of Troy, LLC",23,0.0
"CREDIT CONCEPTS, INC.",23,0.0
"Pavilion Payments US BuyerCo, LLC",23,0.0
"I.C. System, Inc.",22,0.0
ZWICKER & ASSOCIATES,22,0.0
"PayTomorrow, LLC",22,0.0
Michael Wayne Investment,22,0.0
"TRANSCARD, LLC",22,0.0
"Dakota Financial, LLC",22,0.0
"BLINCLOANS, INC.",22,0.0
"New Century Auto Sales, Inc.",22,0.0
Swe Homes LP,22,0.0
MID FLORIDA FINANCING LLC,22,0.0
"Prizm Financial Company, LLC",22,0.0
NJ LENDERS CORP,22,0.0
"Norwich Commercial Group, Inc.",22,0.0
TOLEDO FINANCE CORPORATION,22,0.0
CONDOR CAPITAL CORP,22,0.0
"AMERIFIRST FINANCIAL, INC.",22,0.0
Acorns Grow Incorporated,22,0.0
"RANLife, Inc.",22,0.0
Turner Acceptance Corp.,22,0.0
"National Credit Systems,Inc.",22,0.0
Paysend US LLC,22,0.0
"Kabompo Holdings, Ltd.",21,0.0
"Harmon Law Offices, P.C.",21,0.0
CONTOUR MORTGAGE CORPORATION,21,0.0
GRANDVIEW FINANCIAL SERVICES INC.,21,0.0
American Finance LLC,21,0.0
ENTERPRISE FINANCIAL SERVICES CORP,21,0.0
"SYNERGY ONE LENDING, INC.",21,0.0
"Kiavi, Inc.",21,0.0
NATIONWIDE ADVANTAGE MORTGAGE COMPANY,21,0.0
MOHELA,21,0.0
Instarem PTE Limited,21,0.0
Fidem Baltimore Holdings LLC,21,0.0
"Scratch Financial, Inc.",21,0.0
NATIONS RELIABLE LENDING LLC,21,0.0
UNITED MORTGAGE CORP,21,0.0
"Line Financial, PBC",21,0.0
"Mitsubishi Motors North America, Inc.",21,0.0
"Leap Credit, LLC",21,0.0
"Exodus Movement, Inc.",21,0.0
"ACI Worldwide, Corp.",21,0.0
"NATIONAL ASSET MORTGAGE, LLC",21,0.0
"Klover Holdings, Inc.",21,0.0
"PACE Funding Group, LLC",21,0.0
"HARBORONE MORTGAGE, LLC",21,0.0
Veem  Inc.,21,0.0
GOLD STAR MORTGAGE FINANCIAL,20,0.0
"Fold, Inc.",20,0.0
Massachusetts Housing Finance Agency (MassHousing),20,0.0
"THRIVE MORTGAGE, LLC",20,0.0
RESIDENTIAL HOME FUNDING CORP.,20,0.0
"AppFolio, Inc.",20,0.0
"Auto Advantage Finance, LLC",20,0.0
"SoFi Mortgage, LLC",20,0.0
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",20,0.0
"JAN (LendUSA) Holdings, Inc.",20,0.0
"First Direct Lending, LLC",20,0.0
Titanium Funds,20,0.0
"Weltman, Weinberg & Reis Co., L.P.A.",20,0.0
"Motolease, LLC",20,0.0
Revolution Financial Inc.,20,0.0
MORTGAGE LENDERS OF AMERICA,20,0.0
NCP Finance,20,0.0
"National Auto Lenders, Inc.",20,0.0
Law Offices of Les Zieve,19,0.0
LOAN SIMPLE INC.,19,0.0
"Choice Money Transfer, Inc.",19,0.0
Florida Financial Management dba Lend A Dollar,19,0.0
Credible Labs Inc.,19,0.0
"Lentegrity Management, LLC",19,0.0
"WRJ Holdings, LLC",19,0.0
SecurityNational Mortgage Company,19,0.0
"Pintor Partners, LP",19,0.0
Alliant Capital Management LLC,19,0.0
"Taproot Financial, LLC",19,0.0
"Innovative Funding Services, L.L.C.",19,0.0
"SAMC Honebee TRS, LLC",19,0.0
"United Consumer Finance, Inc.",19,0.0
Next Financial Inc. dba Copper,19,0.0
Groundfloor Finance Inc.,19,0.0
"MORTGAGE FIRM, INC., THE",19,0.0
"Geneva Financial, LLC, Chandler, AZ Branch",19,0.0
"Firstsource Business Process Services, LLC",19,0.0
Nexus Nova LLC,19,0.0
PDQ Check Exchange LC,18,0.0
Paycheck Solutions llc,18,0.0
CENTERSTATE BANK CORPORATION,18,0.0
"Zap Solutions, Inc.",18,0.0
"Concorde Auto Management, LLC  DBA  Concorde Auto Acceptance",18,0.0
Climb Credit Inc.,18,0.0
PLAID INC.,18,0.0
We Collect Inc,18,0.0
Worth Finance Corporation,18,0.0
"RSVP Lending, LLC dba RSVP Loans",18,0.0
"Kriya Capital, LLC",18,0.0
"Tona Mortgage, LLC",18,0.0
"Hometap Equity Partners, LLC",18,0.0
"KBHS Home Loans, LLC",18,0.0
"Caribou Financial, Inc.",18,0.0
Credimatico LLC,18,0.0
ACOPIA CAPITAL GROUP,18,0.0
MEGA CAPITAL FUNDING INC.,18,0.0
"American Payment Holdco, Inc.",18,0.0
MORTGAGE 1 INCORPORATION,18,0.0
Midwest Acceptance Corp.,18,0.0
STEWARD FINANCIAL SERVICES LLC,18,0.0
"The Bureaus, Inc.",18,0.0
Everi Payments Inc.,18,0.0
GOLDEN EMPIRE MORTGAGE INCORPORATED,18,0.0
"EXPERT GLOBAL SOLUTIONS, INC.",17,0.0
BAY VALLEY MORTGAGE GROUP,17,0.0
Secure One Capital Corporation,17,0.0
"LoanUnited.com, LLC",17,0.0
Lenmo Inc,17,0.0
"Nav Technologies, Inc.",17,0.0
"OLD REPUBLIC TITLE HOLDING COMPANY, INC",17,0.0
CRESCO CAPITAL INC.,17,0.0
"Advantage One Credit, LLC",17,0.0
Trans-Fast Remittance LLC,17,0.0
RAYMOND JAMES BANK,17,0.0
Meadowbrook Financial Mortgage Bankers Corp.,17,0.0
COMPUTER SCIENCES CORPORATION,17,0.0
Angel Oak Home Loans LLC,17,0.0
MID-ISLAND MORTGAGE CORP.,17,0.0
"Acceptance Solutions Group, INC",17,0.0
United Built Homes LLC,17,0.0
"MORTGAGE CENTER, LC",17,0.0
Wave Financial USA Inc.,17,0.0
Roc Capital Holdings LLC,17,0.0
Riverwalk Financial Corporation,17,0.0
Consumer Real Estate Finance Co.,17,0.0
"King of Credit Financial, Inc",17,0.0
"Thrivepoint Financial Holdings, Inc.",17,0.0
"EAGLE BANCORP, INC.",17,0.0
MLD MORTGAGE INC,17,0.0
Kubota North America Corporation,16,0.0
MCLEAN MORTGAGE CORPORATION,16,0.0
"MCCUE MORTGAGE COMPANY, THE",16,0.0
"FIDELITY CAPITAL HOLDINGS, INC",16,0.0
"West Capital Lending, Inc.",16,0.0
CHOICE CAPITAL FUND,16,0.0
"YKS Acceptance, Inc.",16,0.0
Uber Technologies Inc.,16,0.0
"Triton Management Group, Inc",16,0.0
"SUNRISE CREDIT SERVICES, INC",16,0.0
TOP FLITE FINANCIAL INC,16,0.0
"HEARTLAND FINANCIAL USA, INC.",16,0.0
"Ovation Financial Services, LLC",16,0.0
EdFinancial Services,16,0.0
"Prospect Mortgage, LLC",16,0.0
"VERITAS FUNDING, LLC",16,0.0
"De Lage Landen Finance, LLC",16,0.0
Summit Financial Corp.,16,0.0
"Moria Development, Inc.",16,0.0
"August Real Estate Investments, LLC",16,0.0
"Northstar Location Services, LLC",16,0.0
Greentree & Associates,16,0.0
"NerdWallet, Inc.",16,0.0
SecureNet Loan Services LLC,16,0.0
"Check City Partnership, LLC",16,0.0
"IDT Telecom, Inc",16,0.0
Lenox Financial Mortgage Corporation,16,0.0
Overland Bond & Investment Corporation,16,0.0
"ADVISORS MORTGAGE GROUP, LLC",16,0.0
"HONOR FINANCE, LLC",16,0.0
Bison Bucks Lending,16,0.0
"Churchill Holdings, Inc.",16,0.0
PRANCER CAPITAL CORP,16,0.0
"GUIDANCE RESIDENTIAL, LLC",16,0.0
South Carolina State Housing Finance and Development Authority,16,0.0
Common Wealth Mortgage Services,15,0.0
"Insikt, Inc.",15,0.0
"Cornerstone First Mortgage, Inc.",15,0.0
Gotmortgage.com,15,0.0
AdvantageFirst Lending Inc.,15,0.0
"TRUEBILL, INC",15,0.0
"Filo Mortgage, L.L.C.",15,0.0
Central Portfolio Control Inc.,15,0.0
WEBULL PAY HOLDINGS (US) INC,15,0.0
"ZINC Financial, Inc.,",15,0.0
Peoples Commerce Inc,15,0.0
Allied Servicing Corporation,15,0.0
JMAC LENDING INCORPORATED,15,0.0
"Sokaogon Finance, Inc.",15,0.0
"MNE Services, Inc",15,0.0
"WMC MORTGAGE, LLC",15,0.0
"EMCC Holdings, LLC",15,0.0
CHERRY CREEK MORTGAGE COMPANY INC.,15,0.0
Palisades Funding Corporation,15,0.0
EA Holdings Corp.,15,0.0
"InterLinc Mortgage Services, LLC",15,0.0
"BAY COUNTRYCONSUMER FINANCE,INC.",15,0.0
Affiliates Management Company,15,0.0
"Amsher Collection Services, Inc.",15,0.0
SunTx Capital Partners,15,0.0
"Edge Home Finance, LLC",15,0.0
PRONTO FINANCE INC.,15,0.0
Total Auto Finance,15,0.0
Loqbox US Inc,15,0.0
"NQM Funding, LLC",15,0.0
"NETWORK FUNDING, L.P.",15,0.0
"SUCCESS MORTGAGE PARTNERS, INC",15,0.0
EarnUp Inc.,15,0.0
"Superior Holdings, LLC",15,0.0
Goldcar Lending Inc.,15,0.0
"Lanier Law Firm, LLC",15,0.0
"Millennial Home Lending, Inc",15,0.0
"Afterpay US Services, LLC",15,0.0
Hanna Holdings Inc,14,0.0
REMAX,14,0.0
"TexCap Financial, LLC",14,0.0
"Southwest Credit Systems, L.P.",14,0.0
FIRST CENTENNIAL MORTGAGE CORP,14,0.0
"Kind Holdings, LLC",14,0.0
"Cash Link USA, LLC",14,0.0
"Peak Acceptance, LLC.",14,0.0
"Above Lending, Inc.",14,0.0
"Lenderfi, Inc.",14,0.0
Intercoastal Mortgage LLC,14,0.0
"Phillips & Cohen Associates, Ltd.",14,0.0
"The Best Service Co.,Inc",14,0.0
"OM Financial, LLC",14,0.0
FIRST ADVANTAGE CORPORATION,14,0.0
"FCC Finance, LLC",14,0.0
"Strategic Automotive Servicing, LLC",14,0.0
"Bounce AI, Inc.",14,0.0
Old Republic National Title Holding Co.,14,0.0
PROPEL FINANCIAL SERVICES LLC,14,0.0
"Gold Star Finance, Inc.",14,0.0
"Automotive Management Services, Inc.",14,0.0
STIFEL FINANCIAL CORP.,14,0.0
E Mortgage,14,0.0
"ONE REVERSE MORTGAGE, LLC",14,0.0
Time Investment Corporation,14,0.0
HOME FINANCING CENTER,14,0.0
BUCKEYE FINANCIAL SERVICES OF ALLIANCE INC.,14,0.0
"Lending Force, LLC",14,0.0
USForex Inc.,14,0.0
PLATINUM HOME MORTGAGE CORPORATION,14,0.0
FIRST FOUNDATION INC.,14,0.0
JUSTICE FINANCE COMPANY,14,0.0
CFW Holdings LLC,14,0.0
"Maximus Federal Services, Inc.",14,0.0
"Cash Time Title Loans, Inc.",14,0.0
2233 Paradise Road LLC,14,0.0
"WestGen Lending, a DBA of Beckam Funding",14,0.0
"QuickClick Loans of Illinois, LLC",14,0.0
Amos Financial LLC,13,0.0
"Capital Management Services, LP",13,0.0
RateGenius Loan Services Inc,13,0.0
"Caliver Beach Mortgage, LLC",13,0.0
Creditly Corp.,13,0.0
Viva Finance Inc.,13,0.0
"ATHAS CAPITAL GROUP, INC.",13,0.0
"K. HOVNANIAN AMERICAN MORTGAGE, LLC",13,0.0
C2 Financial Corporation,13,0.0
"Fein, Such, Kahn & Shepard, P.C.",13,0.0
Luckmore Finance,13,0.0
Prime Choice Funding Inc.,13,0.0
Camino Financial Inc.,13,0.0
Arete Financial Group,13,0.0
"THE MONEY HOUSE, INC.",13,0.0
"Ballybunion Enterprises, Inc",13,0.0
"MRS BPO, LLC",13,0.0
"Pingora Holdings, LP",13,0.0
"BYS, LLC. d/b/a Boost Your Score",13,0.0
Friendly Finance Corporation,13,0.0
HFS Financial LLC,13,0.0
"SHM Holdings, LLC",13,0.0
Reach Financial LLC,13,0.0
Reliant Financial Corporation,13,0.0
"ClearOne Advantage, LLC",13,0.0
"Donut, Inc.",13,0.0
"City Enterprises, LLC",13,0.0
Fusion Auto Finance,13,0.0
"Advantage Credit, Inc.",13,0.0
SVB FINANCIAL GROUP,13,0.0
"B&B Funding, LLC",13,0.0
Redfin Corporation,13,0.0
"Credit Union Mortgage Association, Inc.",13,0.0
"Quick Bridge Funding, LLC",13,0.0
"RIGHT START MORTGAGE, INC.",13,0.0
"Blitt and Gaines, P.C.",13,0.0
"Maximum Title Loans, LLC",13,0.0
"Intelliloan, Inc",13,0.0
"Easy Finance, LLC",13,0.0
ERC,13,0.0
HALLMARK HOME MORTGAGE LLC,13,0.0
"PARKSIDE LENDING, LLC",13,0.0
MORTGAGE CLEARING CORPORATION,13,0.0
"United Debt Counselors, LLC",13,0.0
Armed Forces Loans of Nevada Inc.,13,0.0
"ACQ Holdings, LLC.",13,0.0
"Stenger & Stenger, P.C",13,0.0
Williston Financial Group,13,0.0
Stilt Inc,13,0.0
"Neighborhoods United, LLC",12,0.0
"Aspen Properties Group, LLC",12,0.0
"Consumer Financial Services Solutions, Inc.",12,0.0
BELMONT FINANCE LLC,12,0.0
"Reliable Auto Finance, Inc.",12,0.0
APG Financial Inc,12,0.0
Aura Mortgage Advisors LLC,12,0.0
GENTRY FINANCE CORPORATION,12,0.0
"Real Estate Equity Exchange, Inc. d/b/a Unison",12,0.0
"U.S. Equity Advantage Holdings, Inc.",12,0.0
"Tennessee Quick Cash, Inc.",12,0.0
"Client Services, Inc.",12,0.0
Island Finance Puerto Rico,12,0.0
"Champions Funding, LLC",12,0.0
"Aurora Financial, LLC",12,0.0
"Ladera Lending, Inc",12,0.0
"NEXBANK CAPITAL, INC.",12,0.0
Embassy Loans,12,0.0
Castle and Cookie Mortgage LLC,12,0.0
UNITED GUARANTY CORPORATION,12,0.0
"FinFit Holding Co, LLC",12,0.0
SOUTHEAST MORTGAGE OF GA INC,12,0.0
Rapid Home Lending Inc.,12,0.0
Financial Business and Consumer Solutions.,12,0.0
Helbing Law Group,12,0.0
"CalAtlantic Financial Services, Inc., Scottsdale, AZ Branch",12,0.0
"Law Office of Michael J. Scott, PC",12,0.0
VIAMERICAS CORPORATION,12,0.0
Residential Bancorp,12,0.0
"HAMILTON GROUP FUNDING, INC.",12,0.0
A-L FINANCIAL CORP,12,0.0
"Freeway Funding, Inc.",12,0.0
HOMEOWNERS FINANCIAL GROUP USA,12,0.0
Flat Six Holdings Inc.,12,0.0
"Pinnacle Financial Group, Inc.",12,0.0
Angel Oak Mortgage Solutions LLC,12,0.0
"SOUTHWEST FUNDING, LP",12,0.0
Concerto Card Company,12,0.0
"Double Diamond-Delaware, Inc.",12,0.0
BEAL FINANCIAL CORPORATION,12,0.0
"Yield Solutions Group, LLC",12,0.0
Bank of China USA,12,0.0
"Pinebrook Holdings, LLC",12,0.0
"Financial Asset Management, Inc.",12,0.0
Arbor Residential Mortgage LLC,12,0.0
Home Mortgage Alliance Corp. (HMAC),12,0.0
GREEN ROAD FINANCE INC.,12,0.0
"First Texas Auto Credit, Inc.",12,0.0
"Lugano Capital, Inc. d/b/a Start Auto Finance",12,0.0
"1803 Capital, LLC",12,0.0
Iconic Mortgage Corp.,12,0.0
"FirstKey Holdings, LLC",12,0.0
RC Willey,12,0.0
"Federal Cash Advance, LLC of Oklahoma",12,0.0
Roseberry Inc.,11,0.0
"AMERICAN BANCSHARES MORTGAGE, LLC",11,0.0
FIRST CREDIT FINANCE,11,0.0
"Independent Dealers' Advantage, LLC",11,0.0
"MCS MORTGAGE BANKERS, INC.",11,0.0
SAMUEL I WHITE PC,11,0.0
Rausch Sturm LLP,11,0.0
"Residential Credit Solutions, Inc.",11,0.0
"Zendable, Inc.",11,0.0
Apex Mortgage LLC,11,0.0
"UNITED FIDELITY FUNDING, CORP",11,0.0
"Credit Services Corporation, LLC",11,0.0
"United Collection Bureau, Inc.",11,0.0
ALCAR INC.,11,0.0
"Tebo Financial Services, Inc.",11,0.0
American Coradius International LLC,11,0.0
PAY-O-MATIC,11,0.0
MISSION FINANCIAL SERVICES CORPORATION,11,0.0
MORTGAGE INVESTORS GROUP,11,0.0
"Red Cedar Services, Inc",11,0.0
"URS Holding, LLC",11,0.0
Cactus Jacks Auto Sales,11,0.0
AmOne Corp.,11,0.0
ALL WESTERN MORTGAGE,11,0.0
AMERICAN PORTIFOLIO MORTGAGE,11,0.0
INTERNATIONAL BANCSHARES CORPORATION,11,0.0
"Presto Loan Center, LLC",11,0.0
SOUTHERN TRUST MORTGAGE LLC,11,0.0
Opportunity Fund,11,0.0
U DRIVE ACCEPTANCE CORPORATION,11,0.0
T2 Financial LLC,11,0.0
"UHG, LLC",11,0.0
Draper and Kramer Mortgage Corp.,11,0.0
"Personal Cash Loans of SC, Inc.",11,0.0
UNITED CREDIT CORP. OF SOUTHAVEN,11,0.0
US MORTGAGE CORPORATION,11,0.0
Moon Inc.,11,0.0
"Financial Service Center of Ohio, LLC",11,0.0
"Sequium Asset Solutions, LLC",11,0.0
"Unlock Technologies, Inc.",11,0.0
Castle Mortgage Corporation dba Excelerate Capital,11,0.0
Leaders Financial Company,11,0.0
"Glasser and Glasser, PLC",11,0.0
"Udren Law Offices, P.C.",11,0.0
STAR ONE CREDIT UNION,11,0.0
SHABANA MOTORS,11,0.0
"Genesis Financial & Payment Systems Holdings, LLC",11,0.0
"Colten Mortgage, LLC",11,0.0
InDebted Corporation,11,0.0
Escrow Inc,11,0.0
"Camelot Financial Services, Inc.",11,0.0
WOOD FINANCE INC DBA PREMIER ACCEPTANCE,10,0.0
"WILSON & ASSOCIATES, PLLC",10,0.0
OPEN MORTGAGE LLC,10,0.0
Bankers Auto Acceptance,10,0.0
"Burns Auto Credit, LLC",10,0.0
Toyota Credit De Puerto Rico Corp.,10,0.0
