company,count,percent
CURO Intermediate Holdings,753,0.06
Resurgent Capital Services L.P.,751,0.06
"Carvana Group, LLC",732,0.06
"ONEMAIN FINANCIAL HOLDINGS, LLC.",731,0.06
FIRST NATIONAL BANK OF PENNSYLVANIA,730,0.06
Home Point Financial Corporation,721,0.06
Selene Finance LP,719,0.06
SN SERVICING CORPORATION,719,0.06
"BANK OF NEW YORK MELLON CORPORATION, THE",717,0.06
"OPTUM BANK, INC.",715,0.06
"LDF Holdings, LLC",715,0.06
STATE EMPLOYEES CREDIT UNION,715,0.06
"ACIMA CREDIT, LLC",710,0.06
"Consumer Portfolio Services, Inc.",702,0.05
"EVERBANK, NATIONAL ASSOCIATION",699,0.05
ADP Inc.,689,0.05
PHH Mortgage Services Corporation,681,0.05
Lending Club Corp,680,0.05
"Prosper Marketplace, Inc.",673,0.05
"MARINER FINANCE, LLC",664,0.05
VYSTAR CREDIT UNION,657,0.05
First Technology Federal Credit Union,629,0.05
ZIONS BANCORPORATION,621,0.05
Lendmark Financial Services,615,0.05
"Social Finance, Inc.",606,0.05
"Populus Financial Group, Inc. (F/K/A Ace Cash Express)",605,0.05
BOEING EMPLOYEES' CREDIT UNION,605,0.05
GUARANTEED RATE INC.,589,0.05
"Big Picture Loans, LLC",586,0.05
COMMERCE BANK,586,0.05
World Omni Financial Corp.,581,0.05
"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",577,0.04
MORGAN STANLEY & CO. LLC,576,0.04
"BROKER SOLUTIONS, INC.",567,0.04
21ST MORTGAGE CORP.,561,0.04
Albert Corporation,558,0.04
"GOLDEN 1 CREDIT UNION, THE",549,0.04
"CMG Financial Services, Inc.",548,0.04
SUNCOAST CREDIT UNION,546,0.04
AMERICA FIRST FEDERAL CREDIT UNION,546,0.04
Village Capital & Investment LLC,535,0.04
ASSOCIATED BANC-CORP,528,0.04
CNG FINANCIAL CORPORATION,519,0.04
"Byrider Franchising, LLC",505,0.04
World Acceptance Corporation,505,0.04
"Portfolio Recovery Associates, LLC",505,0.04
"CIT BANK, NATIONAL ASSOCIATION",482,0.04
"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",476,0.04
OPORTUN FINANCIAL CORPORATION,476,0.04
AMERIS BANCORP,473,0.04
"Colony Brands, Inc.",472,0.04
FIRSTBANK PUERTO RICO,471,0.04
Payward Ventures Inc. dba Kraken,467,0.04
Army and Air Force Exchange Service,465,0.04
"Opportunity Financial, LLC",463,0.04
"Dave Operating, LLC",461,0.04
"Tower Loan of Mississippi, Inc.",458,0.04
UMB FINANCIAL CORPORATION,454,0.04
"GVA Holdings, LLC",454,0.04
FIRST PORTFOLIO SERVICING INC,452,0.04
BOK FINANCIAL CORP,451,0.03
BlueChip Financial,448,0.03
Kikoff Inc.,431,0.03
Solar Mosaic LLC,429,0.03
"Peer Advisors, LLC",422,0.03
"Marlette Funding, LLC",420,0.03
WLCC,420,0.03
"Tesla, Inc.",417,0.03
"Mortgage Research Center, LLC",413,0.03
Guild Holdings Company,406,0.03
Aspen Yo LLC,404,0.03
"Skrill USA, Inc.",403,0.03
"Harpeth Financial Services, LLC",401,0.03
United PanAm Financial Corp.,400,0.03
VALLEY NATIONAL BANCORP,400,0.03
MUFG AMERICAS HOLDINGS CORPORATION,398,0.03
OLD NATIONAL BANCORP,393,0.03
MOUNTAIN AMERICA FEDERAL CREDIT UNION,392,0.03
Statebridge Company,392,0.03
"VANDERBILT MORTGAGE & FINANCE, INC",386,0.03
"Advance America, Cash Advance Centers, Inc.",385,0.03
Rosebud Economic Development Corporation,384,0.03
U.S. BANK NATIONAL ASSOCIATION - SAN FRANCISCO MAIN BRANCH,384,0.03
CARD Corporation,378,0.03
Movement Mortgage LLC,378,0.03
"GreenSky, LLC",378,0.03
"WHEELS FINANCIAL GROUP, LLC.",377,0.03
"CULLEN/FROST BANKERS, INC.",377,0.03
WSFS FINANCIAL CORPORATION,376,0.03
"Ria Envia, LLC",376,0.03
"Servis One, Inc., Titusville, PA Branch",371,0.03
RANDOLPH-BROOKS FEDERAL CREDIT UNION,367,0.03
FULTON FINANCIAL CORPORATION,365,0.03
"American First Finance, Inc.",363,0.03
Regional Management Corporation,359,0.03
"STATE FARM BANK, FSB",358,0.03
FourLeaf Federal Credit Union,351,0.03
EAST WEST BANK,350,0.03
Revolut Technologies Inc.,349,0.03
CL Holdings LLC,346,0.03
"Conn's, Inc.",343,0.03
SECURITY FINANCE CORP,339,0.03
"Better Mortgage, Inc.",337,0.03
SCHOOLSFIRST FEDERAL CREDIT UNION,331,0.03
SOUTHSTATE BANK CORPORATION,305,0.02
Thaxton Investment Corporation,302,0.02
Alorica Inc.,301,0.02
"Aqua Finance, Inc.",298,0.02
"AMA Advisors, LLC.",298,0.02
Newport Intermediate Inc.,296,0.02
HANCOCK WHITNEY BANK,295,0.02
"Blockchain.com, Inc.",289,0.02
"Real Time Group, Inc.",288,0.02
"SERVICEMAC, LLC",287,0.02
"Grain Technology, Inc.",284,0.02
"Tribal Lending Enterprise, Inc.",282,0.02
POPULAR BANK,278,0.02
DriveTime,278,0.02
Payfare International Inc.,278,0.02
FIRST TECHNOLOGY FEDERAL CREDIT UNION,276,0.02
"COMMUNITY CHOICE FINANCIAL, INC.",276,0.02
FCI Lender Services Inc.,272,0.02
Sezzle Inc.,272,0.02
AMERICAN ADVISORS GROUP,272,0.02
PRESTIGE FINANCIAL SERVICES INC,271,0.02
LendingPoint Holdings LLC,270,0.02
Stellantis Financial Services US Corp.,268,0.02
Avant Credit Corporation,266,0.02
First Data Corporation,266,0.02
MECHANICS BANK,265,0.02
SIMMONS FIRST NATIONAL CORPORATION,264,0.02
"Duvera Billing Services, LLC",256,0.02
"RFNA, LP",255,0.02
Sigue Corp.,250,0.02
"Reverse Mortgage Solutions, Inc.",249,0.02
Data Mortgage Inc.,249,0.02
WorldRemit Corp.,248,0.02
"Mobiloans, LLC",245,0.02
CADENCE BANK,244,0.02
Fairway Independent Mortgage Corporation,244,0.02
LOBEL FINANCIAL CORPORATION,243,0.02
Chime Inc.,242,0.02
UMPQUA HOLDINGS CORPORATION,242,0.02
"BANKMOBILE TECHNOLOGIES, INC",241,0.02
"Home Loan Center, Inc.",239,0.02
XOOM CORPORATION,239,0.02
"Bliksum, LLC",234,0.02
CapitalJ Inc. dba Juno,233,0.02
Credit Fresh Holdings Inc,230,0.02
Finance of America Holdings LLC,229,0.02
"Select Management Resources, LLC",227,0.02
Possible Financial Inc,226,0.02
"Uprova Credit, LLC",226,0.02
BANK OZK,226,0.02
"Valon Technologies, Inc.",225,0.02
Westcreek Financial,221,0.02
"PROSPERITY BANCSHARES, INC.",221,0.02
Harley Davidson Financial Services Inc,219,0.02
Activehours,218,0.02
BANK OF HAWAII CORPORATION,218,0.02
"COLUMBIA BANKING SYSTEM, INC.",217,0.02
TRUSTMARK CORPORATION,216,0.02
"Risecredit, LLC",214,0.02
Wolf River Development Company,210,0.02
Idaho Housing And Finance Association,210,0.02
Kashia Services,208,0.02
Larry H. Miller Group of Companies,207,0.02
"STERLING JEWELERS, INC.",206,0.02
"SUN WEST MORTGAGE COMPANY, INC.",205,0.02
Crow Creek Sioux Tribe,202,0.02
FREEDOM FINANCIAL NETWORK,202,0.02
STERLING BANCORP,201,0.02
"PLAZA HOME MORTGAGE, INC.",201,0.02
"Lennar Financial Services, LLC",200,0.02
PARAMOUNT RESIDENTIAL MORTGAGE GROUP,198,0.02
TFS FINANCIAL CORPORATION,196,0.02
"NOVAD Management Consulting, LLC",195,0.02
"Branch Messenger, Inc.",190,0.01
"Mercury Technologies, Inc.",189,0.01
Zip Co US Inc.,189,0.01
"Pacific Union Financial, LLC",189,0.01
"Securus J Holdings, LLC",188,0.01
American Financial Network Inc.,188,0.01
"Atlantic Union Bankshares, Inc.",186,0.01
PRIMARY RESIDENTIAL MORTGAGE,185,0.01
MidAmerica Mortgage Inc,183,0.01
"Americas Car-Mart, Inc.",181,0.01
SLM CORPORATION,180,0.01
NORTHWEST BANCSHARES INC,180,0.01
"Certegy Holdings, LLC",179,0.01
WAFD BANK,178,0.01
"UNITED BANKSHARES, INC.",176,0.01
BlockFi Inc,176,0.01
PROVIDENT FUNDING ASSOCIATES,175,0.01
"FIRST INTERSTATE BANCSYSTEM, INC.",174,0.01
"Relay Financial (US), Corp.",174,0.01
"Volvo Car Financial Services U.S., LLC",173,0.01
"FIRST HAWAIIAN, INC.",173,0.01
FIRSTBANK,173,0.01
LAND HOME FINANCIAL SERVICES,171,0.01
Union Home Mortgage Corp,169,0.01
"GREENSKY OPERATIONS, LLC",169,0.01
"EGL US, LLC",168,0.01
GATEWAY FIRST BANK,168,0.01
