metric,value
source_file,/content/drive/MyDrive/retail-complaint-resolution-ml/data/raw/complaints.csv
source_file_size_gb,8.31
total_rows_read,16545376
rows_with_valid_date,16545376
rows_with_invalid_date_received,0
rows_after_date_filter,11987128
rows_after_product_filter_before_dedup,1289027
final_rows_after_dedup,1289027
final_columns,25
records_with_narrative,686744
narrative_share,0.5328
minimum_date_received,2017-01-01 00:00:00+00:00
maximum_date_received,2025-12-31 22:08:00+00:00
